Timestamp,TotalIn,TotalOut,RateIn,RateOut
2023-03-19 19:15:48,672 MB,121 MB,834 kB/s,101 kB/s
2023-03-19 19:15:49,672 MB,121 MB,683 kB/s,70 kB/s
2023-03-19 19:15:50,673 MB,121 MB,409 kB/s,45 kB/s
2023-03-19 19:15:51,673 MB,121 MB,355 kB/s,40 kB/s
2023-03-19 19:15:53,674 MB,121 MB,474 kB/s,49 kB/s
2023-03-19 19:15:54,674 MB,121 MB,538 kB/s,55 kB/s
2023-03-19 19:15:55,675 MB,122 MB,546 kB/s,66 kB/s
2023-03-19 19:15:56,676 MB,122 MB,588 kB/s,70 kB/s
2023-03-19 19:15:57,676 MB,122 MB,572 kB/s,70 kB/s
2023-03-19 19:15:58,677 MB,122 MB,783 kB/s,84 kB/s
2023-03-19 19:15:59,678 MB,122 MB,700 kB/s,78 kB/s
2023-03-19 19:16:00,678 MB,122 MB,483 kB/s,59 kB/s
2023-03-19 19:16:01,679 MB,122 MB,432 kB/s,54 kB/s
2023-03-19 19:16:02,679 MB,122 MB,365 kB/s,41 kB/s
2023-03-19 19:16:03,680 MB,122 MB,523 kB/s,60 kB/s
2023-03-19 19:16:04,680 MB,122 MB,561 kB/s,67 kB/s
2023-03-19 19:16:06,681 MB,122 MB,528 kB/s,61 kB/s
2023-03-19 19:16:07,681 MB,122 MB,381 kB/s,47 kB/s
2023-03-19 19:16:08,682 MB,122 MB,501 kB/s,44 kB/s
2023-03-19 19:16:09,682 MB,122 MB,430 kB/s,37 kB/s
2023-03-19 19:16:10,682 MB,122 MB,292 kB/s,27 kB/s
2023-03-19 19:16:11,683 MB,122 MB,269 kB/s,34 kB/s
2023-03-19 19:16:12,683 MB,122 MB,376 kB/s,42 kB/s
2023-03-19 19:16:13,684 MB,122 MB,516 kB/s,58 kB/s
2023-03-19 19:16:14,684 MB,122 MB,592 kB/s,61 kB/s
2023-03-19 19:16:15,685 MB,123 MB,530 kB/s,52 kB/s
2023-03-19 19:16:16,685 MB,123 MB,494 kB/s,57 kB/s
2023-03-19 19:16:17,686 MB,123 MB,331 kB/s,254 kB/s
2023-03-19 19:16:18,686 MB,123 MB,547 kB/s,150 kB/s
2023-03-19 19:16:20,687 MB,123 MB,597 kB/s,111 kB/s
2023-03-19 19:16:21,688 MB,124 MB,647 kB/s,94 kB/s
2023-03-19 19:16:22,689 MB,124 MB,796 kB/s,110 kB/s
2023-03-19 19:16:23,689 MB,124 MB,652 kB/s,79 kB/s
2023-03-19 19:16:24,690 MB,124 MB,507 kB/s,58 kB/s
2023-03-19 19:16:25,690 MB,124 MB,455 kB/s,38 kB/s
2023-03-19 19:16:26,690 MB,124 MB,319 kB/s,25 kB/s
2023-03-19 19:16:27,691 MB,124 MB,353 kB/s,25 kB/s
2023-03-19 19:16:28,691 MB,124 MB,555 kB/s,49 kB/s
2023-03-19 19:16:29,692 MB,124 MB,349 kB/s,29 kB/s
2023-03-19 19:16:30,692 MB,124 MB,262 kB/s,141 kB/s
2023-03-19 19:16:31,692 MB,124 MB,303 kB/s,77 kB/s
2023-03-19 19:16:32,692 MB,124 MB,270 kB/s,44 kB/s
2023-03-19 19:16:33,693 MB,124 MB,347 kB/s,36 kB/s
2023-03-19 19:16:34,694 MB,124 MB,440 kB/s,37 kB/s
2023-03-19 19:16:35,694 MB,124 MB,311 kB/s,31 kB/s
2023-03-19 19:16:36,694 MB,124 MB,417 kB/s,39 kB/s
2023-03-19 19:16:37,695 MB,124 MB,407 kB/s,39 kB/s
