Timestamp,TotalIn,TotalOut,RateIn,RateOut
2023-03-21 20:56:14,3.8 GB,6.1 GB,1.3 MB/s,120 kB/s
2023-03-21 20:56:15,3.8 GB,6.1 GB,1.7 MB/s,155 kB/s
2023-03-21 20:56:16,3.8 GB,6.1 GB,751 kB/s,58 kB/s
2023-03-21 20:56:18,3.8 GB,6.1 GB,1.3 MB/s,110 kB/s
2023-03-21 20:56:19,3.8 GB,6.1 GB,1.1 MB/s,126 kB/s
2023-03-21 20:56:20,3.8 GB,6.1 GB,2.2 MB/s,203 kB/s
2023-03-21 20:56:21,3.8 GB,6.1 GB,1.5 MB/s,144 kB/s
2023-03-21 20:56:22,3.8 GB,6.1 GB,2.2 MB/s,199 kB/s
2023-03-21 20:56:23,3.8 GB,6.1 GB,2.4 MB/s,211 kB/s
2023-03-21 20:56:24,3.8 GB,6.1 GB,2.1 MB/s,177 kB/s
2023-03-21 20:56:26,3.9 GB,6.1 GB,1.7 MB/s,123 kB/s
2023-03-21 20:56:27,3.9 GB,6.1 GB,1.5 MB/s,124 kB/s
2023-03-21 20:56:28,3.9 GB,6.1 GB,1.7 MB/s,160 kB/s
2023-03-21 20:56:29,3.9 GB,6.1 GB,1.2 MB/s,121 kB/s
2023-03-21 20:56:31,3.9 GB,6.1 GB,2.0 MB/s,159 kB/s
2023-03-21 20:56:32,3.9 GB,6.1 GB,2.0 MB/s,177 kB/s
2023-03-21 20:56:33,3.9 GB,6.1 GB,1.8 MB/s,161 kB/s
2023-03-21 20:56:34,3.9 GB,6.1 GB,2.1 MB/s,176 kB/s
2023-03-21 20:56:35,3.9 GB,6.1 GB,1.4 MB/s,121 kB/s
2023-03-21 20:56:37,3.9 GB,6.1 GB,2.1 MB/s,175 kB/s
2023-03-21 20:56:38,3.9 GB,6.1 GB,1.4 MB/s,120 kB/s
2023-03-21 20:56:39,3.9 GB,6.1 GB,1.1 MB/s,81 kB/s
2023-03-21 20:56:40,3.9 GB,6.1 GB,1.9 MB/s,160 kB/s
2023-03-21 20:56:41,3.9 GB,6.1 GB,1.7 MB/s,146 kB/s
2023-03-21 20:56:43,3.9 GB,6.1 GB,1.9 MB/s,166 kB/s
2023-03-21 20:56:44,3.9 GB,6.1 GB,1.6 MB/s,150 kB/s
2023-03-21 20:56:45,3.9 GB,6.1 GB,2.0 MB/s,192 kB/s
2023-03-21 20:56:46,3.9 GB,6.1 GB,1.5 MB/s,141 kB/s
2023-03-21 20:56:47,3.9 GB,6.1 GB,856 kB/s,88 kB/s
2023-03-21 20:56:49,3.9 GB,6.1 GB,1.1 MB/s,87 kB/s
2023-03-21 20:56:50,3.9 GB,6.1 GB,1.5 MB/s,128 kB/s
2023-03-21 20:56:51,3.9 GB,6.1 GB,1.3 MB/s,104 kB/s
2023-03-21 20:56:52,3.9 GB,6.1 GB,2.1 MB/s,173 kB/s
2023-03-21 20:56:53,3.9 GB,6.1 GB,1.4 MB/s,134 kB/s
2023-03-21 20:56:55,3.9 GB,6.2 GB,2.0 MB/s,156 kB/s
2023-03-21 20:56:56,3.9 GB,6.2 GB,1.3 MB/s,109 kB/s
2023-03-21 20:56:57,3.9 GB,6.2 GB,741 kB/s,64 kB/s
2023-03-21 20:56:58,3.9 GB,6.2 GB,787 kB/s,64 kB/s
2023-03-21 20:57:00,3.9 GB,6.2 GB,2.0 MB/s,150 kB/s
2023-03-21 20:57:01,3.9 GB,6.2 GB,2.0 MB/s,151 kB/s
2023-03-21 20:57:02,3.9 GB,6.2 GB,2.0 MB/s,143 kB/s
2023-03-21 20:57:03,3.9 GB,6.2 GB,2.0 MB/s,160 kB/s
2023-03-21 20:57:04,3.9 GB,6.2 GB,1.7 MB/s,138 kB/s
2023-03-21 20:57:05,3.9 GB,6.2 GB,1.1 MB/s,80 kB/s
2023-03-21 20:57:07,3.9 GB,6.2 GB,558 kB/s,43 kB/s
2023-03-21 20:57:08,3.9 GB,6.2 GB,983 kB/s,62 kB/s
2023-03-21 20:57:09,3.9 GB,6.2 GB,1.5 MB/s,103 kB/s
2023-03-21 20:57:10,3.9 GB,6.2 GB,2.3 MB/s,202 kB/s
2023-03-21 20:57:11,3.9 GB,6.2 GB,2.2 MB/s,161 kB/s
2023-03-21 20:57:13,3.9 GB,6.2 GB,2.4 MB/s,210 kB/s
2023-03-21 20:57:14,3.9 GB,6.2 GB,2.5 MB/s,188 kB/s
2023-03-21 20:57:15,3.9 GB,6.2 GB,2.0 MB/s,137 kB/s
2023-03-21 20:57:16,3.9 GB,6.2 GB,2.0 MB/s,155 kB/s
2023-03-21 20:57:18,3.9 GB,6.2 GB,1.4 MB/s,117 kB/s
2023-03-21 20:57:19,3.9 GB,6.2 GB,1.4 MB/s,118 kB/s
2023-03-21 20:57:21,3.9 GB,6.2 GB,1.4 MB/s,142 kB/s
2023-03-21 20:57:22,3.9 GB,6.2 GB,1.7 MB/s,152 kB/s
2023-03-21 20:57:23,3.9 GB,6.2 GB,2.3 MB/s,191 kB/s
2023-03-21 20:57:24,3.9 GB,6.2 GB,1.3 MB/s,107 kB/s
2023-03-21 20:57:25,3.9 GB,6.2 GB,1.5 MB/s,119 kB/s
2023-03-21 20:57:27,3.9 GB,6.2 GB,1.0 MB/s,110 kB/s
