Timestamp,TotalIn,TotalOut,RateIn,RateOut
2023-03-22 13:32:24,605 kB,128 kB,76 kB/s,11 kB/s
2023-03-22 13:32:25,654 kB,135 kB,59 kB/s,9.0 kB/s
2023-03-22 13:32:26,655 kB,136 kB,22 kB/s,3.3 kB/s
2023-03-22 13:32:28,656 kB,136 kB,9.1 kB/s,1.2 kB/s
2023-03-22 13:32:29,656 kB,136 kB,3.4 kB/s,451 B/s
2023-03-22 13:32:30,657 kB,136 kB,1.5 kB/s,165 B/s
2023-03-22 13:32:31,733 kB,147 kB,49 kB/s,7.3 kB/s
2023-03-22 13:32:32,807 kB,159 kB,64 kB/s,10 kB/s
2023-03-22 13:32:33,807 kB,159 kB,24 kB/s,3.8 kB/s
2023-03-22 13:32:34,807 kB,159 kB,8.7 kB/s,1.4 kB/s
2023-03-22 13:32:35,807 kB,159 kB,3.2 kB/s,513 B/s
2023-03-22 13:32:36,854 kB,164 kB,30 kB/s,3.1 kB/s
2023-03-22 13:32:37,924 kB,176 kB,55 kB/s,8.8 kB/s
2023-03-22 13:32:38,1.0 MB,189 kB,81 kB/s,11 kB/s
2023-03-22 13:32:39,1.1 MB,203 kB,74 kB/s,13 kB/s
2023-03-22 13:32:40,1.2 MB,215 kB,89 kB/s,12 kB/s
2023-03-22 13:32:41,1.2 MB,222 kB,58 kB/s,8.9 kB/s
2023-03-22 13:32:42,1.3 MB,230 kB,56 kB/s,8.7 kB/s
2023-03-22 13:32:43,1.3 MB,237 kB,45 kB/s,7.5 kB/s
2023-03-22 13:32:45,1.4 MB,248 kB,79 kB/s,9.5 kB/s
2023-03-22 13:32:46,1.5 MB,263 kB,94 kB/s,13 kB/s
2023-03-22 13:32:47,1.6 MB,282 kB,112 kB/s,17 kB/s
2023-03-22 13:32:48,1.8 MB,299 kB,140 kB/s,17 kB/s
2023-03-22 13:32:49,1.9 MB,312 kB,100 kB/s,14 kB/s
2023-03-22 13:32:50,2.1 MB,346 kB,184 kB/s,27 kB/s
2023-03-22 13:32:51,2.4 MB,380 kB,111 kB/s,16 kB/s
2023-03-22 13:32:52,2.4 MB,390 kB,81 kB/s,12 kB/s
2023-03-22 13:32:53,2.5 MB,399 kB,70 kB/s,10 kB/s
2023-03-22 13:32:54,2.5 MB,410 kB,64 kB/s,10 kB/s
2023-03-22 13:32:55,2.6 MB,420 kB,62 kB/s,10 kB/s
2023-03-22 13:32:56,2.7 MB,435 kB,98 kB/s,13 kB/s
2023-03-22 13:32:57,2.8 MB,448 kB,91 kB/s,13 kB/s
2023-03-22 13:32:58,2.9 MB,460 kB,78 kB/s,12 kB/s
2023-03-22 13:32:59,3.0 MB,474 kB,102 kB/s,13 kB/s
2023-03-22 13:33:01,3.0 MB,484 kB,74 kB/s,11 kB/s
2023-03-22 13:33:02,3.1 MB,498 kB,87 kB/s,13 kB/s
2023-03-22 13:33:03,3.3 MB,510 kB,101 kB/s,12 kB/s
2023-03-22 13:33:04,3.3 MB,522 kB,82 kB/s,12 kB/s
2023-03-22 13:33:05,3.4 MB,532 kB,69 kB/s,11 kB/s
2023-03-22 13:33:06,3.5 MB,554 kB,54 kB/s,8.7 kB/s
2023-03-22 13:33:07,3.5 MB,557 kB,30 kB/s,5.4 kB/s
2023-03-22 13:33:08,3.5 MB,559 kB,18 kB/s,3.0 kB/s
2023-03-22 13:33:09,3.5 MB,559 kB,8.8 kB/s,1.1 kB/s
2023-03-22 13:33:10,3.5 MB,559 kB,4.7 kB/s,408 B/s
2023-03-22 13:33:11,3.5 MB,559 kB,3.4 kB/s,150 B/s
2023-03-22 13:33:12,3.5 MB,559 kB,1.4 kB/s,55 B/s
2023-03-22 13:33:13,3.7 MB,572 kB,68 kB/s,7.9 kB/s
2023-03-22 13:33:14,3.7 MB,578 kB,59 kB/s,6.8 kB/s
2023-03-22 13:33:15,3.7 MB,578 kB,22 kB/s,2.5 kB/s
2023-03-22 13:33:17,3.7 MB,578 kB,9.1 kB/s,924 B/s
2023-03-22 13:33:18,3.7 MB,578 kB,3.8 kB/s,340 B/s
2023-03-22 13:33:19,3.7 MB,578 kB,2.9 kB/s,125 B/s
2023-03-22 13:33:20,3.8 MB,584 kB,49 kB/s,4.2 kB/s
2023-03-22 13:33:21,3.8 MB,592 kB,47 kB/s,6.6 kB/s
2023-03-22 13:33:22,3.9 MB,601 kB,47 kB/s,7.8 kB/s
2023-03-22 13:33:23,4.0 MB,622 kB,58 kB/s,7.7 kB/s
2023-03-22 13:33:24,4.0 MB,622 kB,25 kB/s,2.9 kB/s
2023-03-22 13:33:25,4.0 MB,622 kB,9.7 kB/s,1.1 kB/s
2023-03-22 13:33:26,4.0 MB,623 kB,3.9 kB/s,871 B/s
2023-03-22 13:33:27,4.1 MB,632 kB,43 kB/s,6.1 kB/s
2023-03-22 13:33:28,4.1 MB,644 kB,49 kB/s,9.8 kB/s
2023-03-22 13:33:29,4.2 MB,660 kB,80 kB/s,13 kB/s
2023-03-22 13:33:30,4.3 MB,661 kB,56 kB/s,6.1 kB/s
2023-03-22 13:33:32,4.3 MB,661 kB,23 kB/s,2.2 kB/s
2023-03-22 13:33:33,4.3 MB,661 kB,8.5 kB/s,819 B/s
2023-03-22 13:33:34,4.3 MB,661 kB,3.4 kB/s,301 B/s
2023-03-22 13:33:35,4.3 MB,665 kB,1.2 kB/s,2.4 kB/s
2023-03-22 13:33:36,4.4 MB,676 kB,82 kB/s,8.0 kB/s
2023-03-22 13:33:37,4.5 MB,686 kB,96 kB/s,8.8 kB/s
2023-03-22 13:33:38,4.5 MB,686 kB,15 kB/s,1.4 kB/s
2023-03-22 13:33:39,4.5 MB,686 kB,6.7 kB/s,546 B/s
2023-03-22 13:33:40,4.6 MB,688 kB,24 kB/s,1.4 kB/s
2023-03-22 13:33:41,4.6 MB,699 kB,52 kB/s,7.3 kB/s
2023-03-22 13:33:42,4.8 MB,715 kB,119 kB/s,13 kB/s
2023-03-22 13:33:43,4.8 MB,720 kB,70 kB/s,8.1 kB/s
2023-03-22 13:33:44,4.9 MB,733 kB,101 kB/s,11 kB/s
2023-03-22 13:33:45,5.0 MB,747 kB,96 kB/s,13 kB/s
2023-03-22 13:33:47,5.1 MB,758 kB,77 kB/s,12 kB/s
2023-03-22 13:33:48,5.1 MB,762 kB,44 kB/s,7.0 kB/s
2023-03-22 13:33:49,5.2 MB,770 kB,49 kB/s,7.4 kB/s
2023-03-22 13:33:50,5.2 MB,773 kB,29 kB/s,4.6 kB/s
2023-03-22 13:33:51,5.2 MB,774 kB,28 kB/s,2.6 kB/s
2023-03-22 13:33:52,5.2 MB,774 kB,11 kB/s,963 B/s
2023-03-22 13:33:53,5.2 MB,774 kB,2.4 kB/s,130 B/s
2023-03-22 13:33:54,5.3 MB,781 kB,34 kB/s,4.3 kB/s
2023-03-22 13:33:55,5.3 MB,793 kB,52 kB/s,9.4 kB/s
2023-03-22 13:33:56,5.4 MB,800 kB,36 kB/s,7.6 kB/s
2023-03-22 13:33:57,5.4 MB,806 kB,55 kB/s,6.5 kB/s
2023-03-22 13:33:58,5.5 MB,811 kB,44 kB/s,5.9 kB/s
2023-03-22 13:33:59,5.5 MB,811 kB,22 kB/s,2.2 kB/s
2023-03-22 13:34:00,5.5 MB,811 kB,8.6 kB/s,805 B/s
2023-03-22 13:34:01,5.5 MB,811 kB,3.4 kB/s,296 B/s
2023-03-22 13:34:03,5.5 MB,811 kB,1.2 kB/s,108 B/s
2023-03-22 13:34:04,5.5 MB,814 kB,7.3 kB/s,2.0 kB/s
2023-03-22 13:34:05,5.6 MB,825 kB,45 kB/s,7.3 kB/s
2023-03-22 13:34:06,5.6 MB,837 kB,68 kB/s,10 kB/s
2023-03-22 13:34:07,5.7 MB,850 kB,79 kB/s,12 kB/s
2023-03-22 13:34:08,5.9 MB,873 kB,77 kB/s,11 kB/s
2023-03-22 13:34:09,6.0 MB,884 kB,76 kB/s,11 kB/s
2023-03-22 13:34:10,6.1 MB,903 kB,110 kB/s,16 kB/s
2023-03-22 13:34:11,6.1 MB,912 kB,69 kB/s,12 kB/s
2023-03-22 13:34:12,6.2 MB,919 kB,49 kB/s,8.6 kB/s
2023-03-22 13:34:13,6.2 MB,920 kB,23 kB/s,3.7 kB/s
2023-03-22 13:34:14,6.2 MB,920 kB,11 kB/s,1.9 kB/s
2023-03-22 13:34:15,6.2 MB,920 kB,5.0 kB/s,689 B/s
2023-03-22 13:34:16,6.2 MB,920 kB,3.1 kB/s,253 B/s
2023-03-22 13:34:18,6.2 MB,924 kB,1.8 kB/s,2.4 kB/s
2023-03-22 13:34:19,6.3 MB,936 kB,48 kB/s,8.6 kB/s
2023-03-22 13:34:20,6.3 MB,939 kB,35 kB/s,5.0 kB/s
2023-03-22 13:34:21,6.3 MB,940 kB,15 kB/s,2.3 kB/s
2023-03-22 13:34:22,6.3 MB,940 kB,6.8 kB/s,854 B/s
2023-03-22 13:34:23,6.3 MB,943 kB,5.9 kB/s,1.9 kB/s
2023-03-22 13:34:24,6.4 MB,956 kB,37 kB/s,4.6 kB/s
2023-03-22 13:34:25,6.4 MB,956 kB,14 kB/s,1.7 kB/s
2023-03-22 13:34:26,6.4 MB,956 kB,6.1 kB/s,622 B/s
2023-03-22 13:34:27,6.4 MB,956 kB,2.7 kB/s,228 B/s
2023-03-22 13:34:28,6.4 MB,958 kB,3.7 kB/s,1.6 kB/s
2023-03-22 13:34:29,6.5 MB,975 kB,68 kB/s,11 kB/s
2023-03-22 13:34:30,6.6 MB,988 kB,84 kB/s,12 kB/s
2023-03-22 13:34:31,6.8 MB,1.0 MB,132 kB/s,18 kB/s
2023-03-22 13:34:32,6.9 MB,1.0 MB,120 kB/s,14 kB/s
2023-03-22 13:34:34,7.0 MB,1.0 MB,87 kB/s,11 kB/s
2023-03-22 13:34:35,7.1 MB,1.0 MB,106 kB/s,16 kB/s
2023-03-22 13:34:36,7.1 MB,1.1 MB,55 kB/s,10 kB/s
2023-03-22 13:34:37,7.1 MB,1.1 MB,32 kB/s,6.1 kB/s
2023-03-22 13:34:38,7.1 MB,1.1 MB,20 kB/s,5.0 kB/s
2023-03-22 13:34:39,7.2 MB,1.1 MB,47 kB/s,6.1 kB/s
2023-03-22 13:34:40,7.3 MB,1.1 MB,30 kB/s,4.1 kB/s
2023-03-22 13:34:41,7.3 MB,1.1 MB,12 kB/s,1.5 kB/s
2023-03-22 13:34:42,7.3 MB,1.1 MB,4.6 kB/s,553 B/s
2023-03-22 13:34:43,7.3 MB,1.1 MB,4.5 kB/s,203 B/s
2023-03-22 13:34:44,7.4 MB,1.1 MB,56 kB/s,9.2 kB/s
2023-03-22 13:34:45,7.4 MB,1.1 MB,64 kB/s,8.9 kB/s
2023-03-22 13:34:46,7.4 MB,1.1 MB,27 kB/s,3.9 kB/s
2023-03-22 13:34:47,7.4 MB,1.1 MB,10 kB/s,1.4 kB/s
2023-03-22 13:34:49,7.4 MB,1.1 MB,4.3 kB/s,525 B/s
2023-03-22 13:34:50,7.4 MB,1.1 MB,2.9 kB/s,193 B/s
2023-03-22 13:34:51,7.4 MB,1.1 MB,2.0 kB/s,2.1 kB/s
2023-03-22 13:34:52,7.5 MB,1.1 MB,56 kB/s,7.0 kB/s
2023-03-22 13:34:53,7.6 MB,1.1 MB,49 kB/s,6.5 kB/s
2023-03-22 13:34:54,7.6 MB,1.1 MB,9.5 kB/s,878 B/s
2023-03-22 13:34:55,7.6 MB,1.1 MB,4.0 kB/s,323 B/s
2023-03-22 13:34:56,7.6 MB,1.1 MB,2.4 kB/s,118 B/s
2023-03-22 13:34:57,7.6 MB,1.1 MB,1.4 kB/s,43 B/s
2023-03-22 13:34:58,7.6 MB,1.1 MB,2.7 kB/s,16 B/s
2023-03-22 13:34:59,7.6 MB,1.1 MB,4.3 kB/s,5 B/s
2023-03-22 13:35:00,7.6 MB,1.1 MB,2.2 kB/s,2 B/s
2023-03-22 13:35:01,7.6 MB,1.1 MB,1.3 kB/s,0 B/s
2023-03-22 13:35:02,7.6 MB,1.1 MB,802 B/s,0 B/s
2023-03-22 13:35:03,7.6 MB,1.1 MB,2.5 kB/s,0 B/s
2023-03-22 13:35:04,7.6 MB,1.1 MB,2.0 kB/s,0 B/s
2023-03-22 13:35:05,7.6 MB,1.1 MB,817 B/s,0 B/s
2023-03-22 13:35:07,7.6 MB,1.1 MB,685 B/s,0 B/s
2023-03-22 13:35:08,7.6 MB,1.1 MB,666 B/s,0 B/s
2023-03-22 13:35:09,7.6 MB,1.1 MB,1.9 kB/s,0 B/s
2023-03-22 13:35:10,7.6 MB,1.1 MB,7.1 kB/s,0 B/s
2023-03-22 13:35:11,7.6 MB,1.1 MB,3.1 kB/s,0 B/s
2023-03-22 13:35:12,7.6 MB,1.1 MB,1.2 kB/s,0 B/s
2023-03-22 13:35:13,7.6 MB,1.1 MB,553 B/s,0 B/s
2023-03-22 13:35:14,7.6 MB,1.1 MB,261 B/s,0 B/s
2023-03-22 13:35:15,7.6 MB,1.1 MB,148 B/s,0 B/s
2023-03-22 13:35:16,7.6 MB,1.1 MB,263 B/s,0 B/s
2023-03-22 13:35:17,7.6 MB,1.1 MB,128 B/s,0 B/s
2023-03-22 13:35:18,7.6 MB,1.1 MB,47 B/s,0 B/s
2023-03-22 13:35:19,7.6 MB,1.1 MB,962 B/s,0 B/s
2023-03-22 13:35:20,7.6 MB,1.1 MB,1.2 kB/s,25 B/s
2023-03-22 13:35:21,7.6 MB,1.1 MB,431 B/s,9 B/s
2023-03-22 13:35:22,7.6 MB,1.1 MB,158 B/s,3 B/s
2023-03-22 13:35:23,7.6 MB,1.1 MB,1.8 kB/s,1 B/s
2023-03-22 13:35:24,7.6 MB,1.1 MB,6.7 kB/s,5.6 kB/s
2023-03-22 13:35:25,7.6 MB,1.1 MB,3.1 kB/s,2.7 kB/s
2023-03-22 13:35:26,7.6 MB,1.1 MB,1.3 kB/s,978 B/s
2023-03-22 13:35:28,7.6 MB,1.1 MB,478 B/s,360 B/s
2023-03-22 13:35:29,7.6 MB,1.1 MB,176 B/s,132 B/s
2023-03-22 13:35:30,7.7 MB,1.2 MB,55 kB/s,9.8 kB/s
2023-03-22 13:35:31,7.8 MB,1.2 MB,65 kB/s,9.5 kB/s
2023-03-22 13:35:32,7.9 MB,1.2 MB,70 kB/s,11 kB/s
2023-03-22 13:35:33,8.0 MB,1.2 MB,48 kB/s,6.1 kB/s
2023-03-22 13:35:34,8.0 MB,1.2 MB,40 kB/s,6.0 kB/s
2023-03-22 13:35:35,8.0 MB,1.2 MB,15 kB/s,2.2 kB/s
2023-03-22 13:35:36,8.0 MB,1.2 MB,6.0 kB/s,813 B/s
2023-03-22 13:35:37,8.0 MB,1.2 MB,2.2 kB/s,299 B/s
