Provider ID,Number of Appearances,Reachable,IP Address
12D3KooWHVXoJnv2ifmr9K6LWwJPXxkfvzZRHzjiTZMvybeTnwPy,3681,True,145.40.89.101
12D3KooWCrBiagtZMzpZePCr1tfBbrZTh4BRQf7JurRqNMRi8YHF,3712,True,147.75.87.65
12D3KooWRNijznEQoXrxBeNLb2TqbSFm8gG8jKtfEsbC1C9nPqce,3685,True,147.75.87.211
12D3KooWJXVWMbcxGh2jkPiw3pjZTmB78jSQja3ke7n6vQ1y2Jdi,3394,True,139.178.88.247
12D3KooWQHS83N7ykf2pJMBSjsDMtyv5MrEukHdoiCJke2e6GjFf,139,True,139.178.88.175
12D3KooWP4qjCAV3RT6taJS51CGVXAuqTTeLukzUdX4PPuDVaFYS,3,True,94.130.177.126
12D3KooWG1CRewFkzjG9NWMaUHgSB7USnkVjUjU2sfCCcSEc6f74,46,True,155.138.148.183
,28,False,
12D3KooWDpp7U7W9Q8feMZPPEpPP5FKXTUakLgnVLbavfjb9mzrT,32,True,147.75.80.75
12D3KooWAcrEbkfz3rvmw7B71uKEJcKMfWZi65BgvpMrFbbh4N1R,1,True,176.67.19.211
12D3KooWBdCVqd4MGtmqu54RuiLKvbmidmB25n4KkhoVTFZAW8nz,1,True,165.227.115.222
12D3KooWDEqeGJPKh6Fz566ZyKL39JgSowRL8x65p7vZQ7owTia6,1,True,127.0.0.1
12D3KooWJ1BKQPGDKfMzmWJrZHMP2sntfBKvggVUXT6r12kyQr3f,1,False,
12D3KooWGsor3uZDNNfkuwVjAaj9oG1jVynec3QRbakG4iJhw5Uf,1,False,
12D3KooWPFgxks4EzD7rBKVGg85MLAn83nfVQxDhVuZYqhgphnNU,1,False,
12D3KooWCNozGGUT2hZMe2h81B3TymVtcutPQvj7N9qpLBegsVbL,1,False,
12D3KooWDBUQW94aCZnqV8MNdfQSV9UNfytYUVAzZXdpj8X5WWMH,1,False,
12D3KooWLB1AYPyNYjYmSkYuKJSdDywKE4R6kShFLEXKc4Wz7E8k,1,False,
