Provider ID,Number of Appearances,Reachable,IP Address
12D3KooWJXVWMbcxGh2jkPiw3pjZTmB78jSQja3ke7n6vQ1y2Jdi,246,True,139.178.88.247
12D3KooWCrBiagtZMzpZePCr1tfBbrZTh4BRQf7JurRqNMRi8YHF,256,True,147.75.87.65
12D3KooWHVXoJnv2ifmr9K6LWwJPXxkfvzZRHzjiTZMvybeTnwPy,256,True,145.40.89.101
12D3KooWRNijznEQoXrxBeNLb2TqbSFm8gG8jKtfEsbC1C9nPqce,256,True,147.75.87.211
12D3KooWDEqeGJPKh6Fz566ZyKL39JgSowRL8x65p7vZQ7owTia6,1,True,37.120.171.72
12D3KooWJ1BKQPGDKfMzmWJrZHMP2sntfBKvggVUXT6r12kyQr3f,1,False,
12D3KooWPFgxks4EzD7rBKVGg85MLAn83nfVQxDhVuZYqhgphnNU,1,False,
12D3KooWBdCVqd4MGtmqu54RuiLKvbmidmB25n4KkhoVTFZAW8nz,1,False,
12D3KooWAcrEbkfz3rvmw7B71uKEJcKMfWZi65BgvpMrFbbh4N1R,1,True,192.168.8.225
12D3KooWCNozGGUT2hZMe2h81B3TymVtcutPQvj7N9qpLBegsVbL,1,False,
12D3KooWGsor3uZDNNfkuwVjAaj9oG1jVynec3QRbakG4iJhw5Uf,1,False,
12D3KooWP4qjCAV3RT6taJS51CGVXAuqTTeLukzUdX4PPuDVaFYS,1,True,94.130.177.126
12D3KooWDpp7U7W9Q8feMZPPEpPP5FKXTUakLgnVLbavfjb9mzrT,9,True,147.75.80.75
12D3KooWQHS83N7ykf2pJMBSjsDMtyv5MrEukHdoiCJke2e6GjFf,14,True,139.178.88.175
12D3KooWG1CRewFkzjG9NWMaUHgSB7USnkVjUjU2sfCCcSEc6f74,2,True,155.138.221.25
