Original Link,Resolved CID
Heraldry,bafkreihtzp2a2wxcaysagoimxa4zquki2relmzkolw6hhaa3spbixirhiq
Mediterranean,bafkreiga6bjztlzbjdfbxspnuboimwnhyvgrmad2u4t6gbbaxu6u7jhvsu
Astronomy,bafybeigx4a6jgq4flpdh35rt4x5sc6fayno7wed43ezkircgqfzff7mkmm
Culture,bafkreibaosesvny3gvnr735so3irxqqbzh5w5jyijz6qcufxpajaxhjbhm
Mughal_Empire,bafybeicajacpwkchhbingxfifbjef34dmktlq53isb3t2ppus7dkwa45nm
Philosophy,bafybeiguf52lh3ikt43lyvblc3qjvmm7pvzuyacpz2gynri2twws4pj6ie
Renewable_energy,bafybeig5ere2wl3xmwhejxrewhohriye7c45ls5uszgcubxaxhtyt3wvty
Painting,bafkreihfelal77bc3vikqcvy5mgay5z4xapucntp2lkpl4zxgipihmnkha
Cartography,bafkreianvb4ks6ongohrboodyu4a7bpvkpyym6jearm6ixc2j546w2vl5i
Badminton,bafkreicass5hfwlrweck4s4w4w2m5nuqs2kcj36gfn2h6c5tljnqnrbxg4
Applied_mathematics,bafkreihlcb7zr43khzsuci6dqgt4qxxmdbqko2kswofzo6duz7x4c747se
Archaeology,bafybeibmy62zigp7w2mvxb3zxk54cnhbd6a3fevsjztosqv2muubfnfqwy
Social_sciences,bafkreidfwfgbqtyvzyubcwmxoo2idjmrfq5uk77g2x4a77dhgcvmixw2jq
Ancient_Greece,bafkreietwg7j53iwo6w66rafhsy6ugpazaosn3ulhuln5c7fybnv5kjuca
Theatre,bafybeieqaiilq5grdjcho63t6jvw6rftvv7pwn4rnlzn7qbyymhwxe3mea
Sculpture,bafybeigd6ygdhiehkqxpyqe67pijqh7s2zakvqmhks7r5v7c37txtw2bjy
Rugby_union,bafybeidzes2jfwcg6rvdwo2gcwwjersmgq77qzppxnp5mxrun7usfckdre
Byzantine_Empire,bafybeicutl4ft5vo3b56eg36txhk4qkxy2yofj4eunzsy6afxl4dnazqzi
Telecom,bafkreigzt4oe7nyn2jdnlatyyq2wj42j2rreyquw2pqc5q5jjmadpk2zdi
Philosophy_of_science,bafybeicece3sffaoqf7zrlsc6cs2iemsliqhijp2pcnnjgjhyq74htbfie
Free_and_open-source,bafkreiagprcpui3i76ozddbfg4fkju4ayzrahbizd4spg333o4nhoweb7a
Caribbean,bafybeibp7okqaqwslxdrwsy52l4jl6csrip7325n336vchgh4uhndwr3hu
Antarctica,bafybeiecvlncjoc4busnxmyfimwhdjieaqtahfoqlrt7xg3xnkcityo4qq
Freedom_of_speech,bafkreidtopnb6ewmsmod7yttsvwjw2t7qbn4en6sxepodzxlampxv2uw4i
Social_work,bafkreici47dwg6blzdlsq2umki7ffruoiqgmrivyt4xqi7dzrzsmircujq
Death,bafybeigb2sngoz4wk7ih5g7kc5sxqwavs72bo4en72nvenbqnpvmic66oq
Design,bafybeicjmga6chb2z76dp45jz6v64vhwq6xtrgxiclzjg3yhh3nvizr2eq
Social_movement,bafkreig3exvylqtlvrut76fnqppkv6a7tso4q4lw26wh4jjvkhkz6kcc24
Transport,bafybeiefovbxyr33vvfa7efvvyfvxzz3er5p24oyiipgzfy4motbmuxjky
Earth_sciences,bafkreig5weuu56yzjcqv6ztqhlty2hsc6cglhere2mwu25nxos3ok6ssge
South_America,bafybeigacq5h44qkbaulxtjm4sxjwejutxzq3vcif4g36teubsftevbi2y
Swimming,bafybeielfnaz24xm3rgglnfn3hg646pnbt3xddafgoa3y2jjz7jxiha5a4
Paralympics,bafkreieeb3vkxfmqeyptadtmxrfeozfaotknc2ztdhd4ginael4ohle53u
American_football,bafybeiaum2pix77a3u3scyoaeywbzsisvgxbgknsjkbxaukgrtfyl7znai
Dance,bafybeiadf5qq4dvfxfhupcut666sd5grstoetn6exivgxb5k3y3uite624
Fashion,bafybeihbugyii5lqk3drrn7i3sw56c7sra2jj32tl2mdhxz24zz2sn6y6e
Sustainable_development,bafybeicyndgmg5o5tk5toxo6mv5qmnp4saxj2isfzg7mxqkqikstp2tbg4
History_of_science,bafybeidsmaiz37uzkjellvso373xauzhe7tqxqcjkovsv2tvpeqzs6ocyu
Photography,bafkreicsojwhghs2ccamsbxsir53o5z7qqiem2kqd3gpscn6kzsc2pc3pu
Ancient_Rome,bafybeifghmc3r2otlsxuw6f4lktpqvrvzbdp6lcvtpeybnyizgzfubiowe
Medicine,bafkreibm5dhj2qjs2ukihlo5ptgpmyt5cz2ap6wzooxmrtcup6qj74ucly
Middle_Ages,bafybeietl43hw6dbtwwplvhkpcnplnasoryt5ebpwre32jogbpmvrc3moy
Sport_of_athletics,bafkreifekcwwirpprrthvoznsjndzaffubx6vb63a3nxtiyvnrfewpiuem
Kiwix,bafkreicpbil34oo7kfcxgag5trz5i4iyjlodawxrdyatanwa35zibmcqde
Crusades,bafybeicvts5jvrx45sgkabmvayryz7zkiu2ahm5e46gyaqeeg62r367npy
Veterinary_medicine,bafkreigigstu24p7jibuojcma4d74iv7xoo7kjfhzntchdn2tibzh5yrtu
