Original Link,Resolved CID
Africa,bafybeicysbsujtlq2d7ygbab47lywcb7vehx64zwv4etis6hom45iorjwm
Ancient_Near_East,bafkreievej3jwbbhqxfssqoufwmvmortolgzzya6tshx7fioqahotpy62y
Engineering,bafybeiho4hxlifxrzblijrxbbxpdzfvhmjymtylfucunwo47cojwttsp4u
Politics,bafkreifn2jagnycsojzkfcvo6s5q3zmpniffknm2b53zaklwy4qi4eqnze
Latin_America,bafybeigakdeepm5egrrt2b4ycqw27rko4jvhhdjmxzwqf6tyzxhgtnhcoi
Rugby_league,bafkreihc3koc65musc5uy4i4yj47rwmrdmpjcislr6q3qhmkbiedb5gfje
Culture,bafkreibaosesvny3gvnr735so3irxqqbzh5w5jyijz6qcufxpajaxhjbhm
Professional_wrestling,bafkreibsr75daxyqijo4fupemhaxi3tiznkosssz7piflk5ql6jzbsg2yi
Sport_of_athletics,bafkreifekcwwirpprrthvoznsjndzaffubx6vb63a3nxtiyvnrfewpiuem
Films,bafkreiewfljpif5abiyb426r5egdmr2jvdveevdih4gib5uqxz2r5azc4i
Antarctica,bafybeiecvlncjoc4busnxmyfimwhdjieaqtahfoqlrt7xg3xnkcityo4qq
Nanotechnology,bafkreia7rlhabitm3dwwffk6fdukxtvqofoew554dah3k2k7aw33kbbphq
Sustainable_development,bafybeicyndgmg5o5tk5toxo6mv5qmnp4saxj2isfzg7mxqkqikstp2tbg4
Paralympics,bafkreieeb3vkxfmqeyptadtmxrfeozfaotknc2ztdhd4ginael4ohle53u
Theatre,bafybeieqaiilq5grdjcho63t6jvw6rftvv7pwn4rnlzn7qbyymhwxe3mea
Aviation,bafybeiguutd2s2mnfyqacv2ibyxxoopbz5e4p7pavoohd6vgu4j3b2xria
Architecture,bafkreicc2cshwe6bshig26jonbzloyypbhc22qpmf2plkq32ncd6f4acve
Energy,bafkreifha2bvmmy6xyhzvdnybtyzqj2yn3yad7t6ucfmqn6yy4mjxki76m
Ottoman_Empire,bafybeibp7g5lsn4cddslowkvvho3tfcmenyxxsc3doxwhmshuz55kg4cxq
Dance,bafybeiadf5qq4dvfxfhupcut666sd5grstoetn6exivgxb5k3y3uite624
American_football,bafybeiaum2pix77a3u3scyoaeywbzsisvgxbgknsjkbxaukgrtfyl7znai
Photography,bafkreicsojwhghs2ccamsbxsir53o5z7qqiem2kqd3gpscn6kzsc2pc3pu
Middle_Ages,bafybeietl43hw6dbtwwplvhkpcnplnasoryt5ebpwre32jogbpmvrc3moy
Death,bafybeigb2sngoz4wk7ih5g7kc5sxqwavs72bo4en72nvenbqnpvmic66oq
Asia,bafybeifsp3h3ljosamcwkzsxpda4ztadnn6xgvwbjnzh2hbuc533vbksky
Heraldry,bafkreihtzp2a2wxcaysagoimxa4zquki2relmzkolw6hhaa3spbixirhiq
Physics,bafybeiakpywysfoqnlod4asnqind5vtlyp4yackgyr4znbm562q3mhoqjm
Sculpture,bafybeigd6ygdhiehkqxpyqe67pijqh7s2zakvqmhks7r5v7c37txtw2bjy
Oceania,bafybeidpak543d3t4bm3sma2q6s4rdrxsech7yfs36mephn5uv4ryxoxny
Dentistry,bafkreighxmylrcncg5ycpgtfqy4phpgyo252y5jj7sqpas7jvlg4ti4kl4
Astronomy,bafybeigx4a6jgq4flpdh35rt4x5sc6fayno7wed43ezkircgqfzff7mkmm
Spaceflight,bafkreichq6sq5q2uxklecvjeqd45zdfmweboamucwcykr2a4h4frtum2mi
Gastronomy,bafkreid3raeaeaa7aoyfarerrcov4hqi5nejvt6gj53zda2b36ki7t6ktm
Electronics,bafkreibhsehld67zrmuhuubc3tsd5aqag5l7rkke5hbm3iyiteszruilbm
Earth_sciences,bafkreig5weuu56yzjcqv6ztqhlty2hsc6cglhere2mwu25nxos3ok6ssge
Painting,bafkreihfelal77bc3vikqcvy5mgay5z4xapucntp2lkpl4zxgipihmnkha
Commonwealth_Games,bafybeifj6p66tdooqtczydvz2achnmv47exyxrkl5gik6kivjr5vtiayfu
Asian_Games,bafkreigjxzxfznksxxxr2cve4z2zctfcsqzzq25dqdabxhci7zkhbqtxsi
Wikipedia,bafybeifdlnu7oldpn65eyf7xocinzxor4yfokoynnb52gn2bbysctqqmgy
Books,bafkreicpiiacnnnhfxdvxdh6i5pwr44y6gnwmuyxqijeuyz6z5kfim5sbe
Chemistry,bafybeibvnnb57y6rfdhmelvu6pgkrut7d4qu3cw5pdtf4hfrjj4rhgwytm
History_of_China,bafybeigj3z7pw7eqlabbzyo7p625qhwp2s55ritaozmttxvfj574t63euq
Rugby_union,bafybeidzes2jfwcg6rvdwo2gcwwjersmgq77qzppxnp5mxrun7usfckdre
Crusades,bafybeicvts5jvrx45sgkabmvayryz7zkiu2ahm5e46gyaqeeg62r367npy
Caribbean,bafybeibp7okqaqwslxdrwsy52l4jl6csrip7325n336vchgh4uhndwr3hu
Community,bafybeicdi3jnwjuxpgaibvnkti4q323dpcyn2ywq4ichbr46ozxrqbzaq4
Kiwix,bafkreicpbil34oo7kfcxgag5trz5i4iyjlodawxrdyatanwa35zibmcqde
Cinematography,bafkreiar2newm4puhxhvvudvjtxrj4hmwkfei555nccb56jutsldy4lq3m
Music,bafybeiczxh7icfnzpqphhunoitr7hepgg4x4imjgmsa36y4zyxmdcqgoty
History_of_science,bafybeidsmaiz37uzkjellvso373xauzhe7tqxqcjkovsv2tvpeqzs6ocyu
Seljuk_Empire,bafybeifb6o2xru54blmmmpxxnpjc3nlxhv5li6u3m2gygb75ec2u3bkvbq
Agriculture,bafybeibvu7brgdrhwtfb7mrkcmulcbm4jgdeszxytlvqqni5uknw56rlyq
Badminton,bafkreicass5hfwlrweck4s4w4w2m5nuqs2kcj36gfn2h6c5tljnqnrbxg4
Religion,bafybeiguyishfbvop2ngraybcpkbhcfq2kvywmfiutdb5cszxetfxjsd74
Internet,bafybeia73zcylj2bdxjl2omftjo5fpbysafr53m3g2qq6xik6tbaeqh3yu
Olympics,bafkreiebmh2hd4wufmvjsmf25nqsfv26nhpljc2dg27obflrhn2pwgowqq
Social_movement,bafkreig3exvylqtlvrut76fnqppkv6a7tso4q4lw26wh4jjvkhkz6kcc24
Martial_arts,bafkreid5mw5xa23iufl7qfqbjrdmvorw2dokfg6myugfify4f555ekf64i
Basketball,bafybeidifd5rlwhsgvmec6lp7tq75ut4dewrnkrt5gql3tdku5x6gv7ax4
Soviet_Union,bafybeicklgdcdhsmr67jiy7o2if5izttuquj7xubmyzoutfwzqkoxk5rhi
Human_rights,bafybeigg2gb2rmynwef6jy5rlkxewitd2n3fzztgm2hfke7gcljwyrpt6m
Byzantine_Empire,bafybeicutl4ft5vo3b56eg36txhk4qkxy2yofj4eunzsy6afxl4dnazqzi
